,LOCATION_NAME,RESTAURANT_NAME,NUMBER_OF_ORDERS,AVG_DEL_TIME,AVG_DISTANCE,ON_TIME,COMBINED
9,"Jacksonville, NC",Zaxby's,190,64.84,11.043947368421,60.53,"Jacksonville, NC - Zaxby's"
98,"Jacksonville, NC",Wingstop,177,64.99,10.311807909605,57.06,"Jacksonville, NC - Wingstop"
79,"Norfolk, VA",Chick-fil-A,162,64.07,9.8243827160494,83.95,"Norfolk, VA - Chick-fil-A"
96,"Jacksonville, NC",Burrito Shak,157,66.86,10.625668789809,80.89,"Jacksonville, NC - Burrito Shak"
12,"Jacksonville, NC",Texas Roadhouse,141,69.74,8.4890780141844,53.19,"Jacksonville, NC - Texas Roadhouse"
17,"Jacksonville, NC",Five Guys,133,62.69,8.7260902255639,63.16,"Jacksonville, NC - Five Guys"
101,"Jacksonville, NC",Buffalo Wild Wings,124,68.86,9.9062096774194,70.97,"Jacksonville, NC - Buffalo Wild Wings"
69,"Norfolk, VA",Wing Stop,120,60.28,5.0185,71.67,"Norfolk, VA - Wing Stop"
52,"Jacksonville, NC",Cancun Mexican Restaurant,89,71.12,7.5304494382022,62.92,"Jacksonville, NC - Cancun Mexican Restaurant"
28,"Jacksonville, NC",Fazoli's,76,67.64,11.210526315789,55.26,"Jacksonville, NC - Fazoli's"
24,"Jacksonville, NC",McDonald's,69,65.83,7.3373913043478,63.77,"Jacksonville, NC - McDonald's"
13,"Jacksonville, NC",Denny's,69,62.41,10.161014492754,76.81,"Jacksonville, NC - Denny's"
111,"Norfolk, VA",QDOBA Mexican Eats,56,72.86,9.4323214285714,51.79,"Norfolk, VA - QDOBA Mexican Eats"
67,"Norfolk, VA",Applebee's Grill,53,67.25,4.5784905660377,73.58,"Norfolk, VA - Applebee's Grill"
46,"Jacksonville, NC",Beer,51,61.14,7.8750980392157,60.78,"Jacksonville, NC - Beer"
86,"Norfolk, VA",Sonic,51,74.59,6.701568627451,50.98,"Norfolk, VA - Sonic"
10,"Jacksonville, NC",Carolina Ale House,51,68.76,10.904901960784,78.43,"Jacksonville, NC - Carolina Ale House"
19,"Jacksonville, NC",Red Robin,47,62.21,8.1742553191489,72.34,"Jacksonville, NC - Red Robin"
25,"Jacksonville, NC",Subway,46,63.74,7.1489130434783,71.74,"Jacksonville, NC - Subway"
6,"Jacksonville, NC",Peno,42,60.48,10.16,61.9,"Jacksonville, NC - Peno"
11,"Jacksonville, NC",Logan's Roadhouse,38,60.63,9.6989473684211,73.68,"Jacksonville, NC - Logan's Roadhouse"
149,NAS Oceana & Dam Neck Naval Base,KFC,35,65.66,3.1425714285714,62.86,NAS Oceana & Dam Neck Naval Base - KFC
66,"Jacksonville, NC",Blaze Pizza,33,68.03,11.201818181818,78.79,"Jacksonville, NC - Blaze Pizza"
94,"Jacksonville, NC",Wow Bao,31,65.39,10.725161290323,61.29,"Jacksonville, NC - Wow Bao"
156,NAS Oceana & Dam Neck Naval Base,Gran Maya Mexican Grill,31,62.94,3.3396774193548,74.19,NAS Oceana & Dam Neck Naval Base - Gran Maya Mexican Grill
88,"Jacksonville, NC",Bojangles,30,66.97,7.4386666666667,73.33,"Jacksonville, NC - Bojangles"
36,"Fayetteville, NC",Chick Fil A,30,60.93,9.518,63.33,"Fayetteville, NC - Chick Fil A"
133,"Langley AFB & Hampton, VA",Zaxbys,30,70.4,4.1853333333333,43.33,"Langley AFB & Hampton, VA - Zaxbys"
91,"Jacksonville, NC",Bojangles,28,60.29,5.8728571428571,67.86,"Jacksonville, NC - Bojangles"
113,"Norfolk, VA",ChowCall Express,27,65.74,2.072962962963,62.96,"Norfolk, VA - ChowCall Express"
77,"Norfolk, VA",Burger King,26,65.88,4.5619230769231,73.08,"Norfolk, VA - Burger King"
51,"Fayetteville, NC",Panda Express,25,64.68,7.5344,52.0,"Fayetteville, NC - Panda Express"
26,"Jacksonville, NC",Hardees,24,61.46,7.2591666666667,70.83,"Jacksonville, NC - Hardees"
31,"Fayetteville, NC",Zaxby's,24,64.21,10.059166666667,41.67,"Fayetteville, NC - Zaxby's"
50,"Jacksonville, NC",Denny's,23,72.48,5.9530434782609,56.52,"Jacksonville, NC - Denny's"
27,"Jacksonville, NC",Hwy 55,22,65.23,7.3627272727273,77.27,"Jacksonville, NC - Hwy 55"
85,"Norfolk, VA",Five Guys,19,75.21,6.8147368421053,47.37,"Norfolk, VA - Five Guys"
110,"Norfolk, VA",Fuddruckers,19,66.74,4.9763157894737,57.89,"Norfolk, VA - Fuddruckers"
114,"Norfolk, VA",Chanello's Pizza,18,63.06,2.1288888888889,72.22,"Norfolk, VA - Chanello's Pizza"
158,NAS Oceana & Dam Neck Naval Base,Gino's Pizzeria by Maurizio,17,63.24,3.0235294117647,82.35,NAS Oceana & Dam Neck Naval Base - Gino's Pizzeria by Maurizio
145,"Langley AFB & Hampton, VA",Chanello's Pizza,14,65.64,2.2592857142857,35.71,"Langley AFB & Hampton, VA - Chanello's Pizza"
40,"Fayetteville, NC",Popeye's,14,67.57,11.222857142857,42.86,"Fayetteville, NC - Popeye's"
90,"Jacksonville, NC",Carolina Fish Fry Co.,14,63.0,7.3335714285714,71.43,"Jacksonville, NC - Carolina Fish Fry Co."
154,NAS Oceana & Dam Neck Naval Base,Fuddruckers,13,73.0,3.3776923076923,61.54,NAS Oceana & Dam Neck Naval Base - Fuddruckers
127,"Langley AFB & Hampton, VA",Papa John's,12,71.0,3.6591666666667,50.0,"Langley AFB & Hampton, VA - Papa John's"
119,"Havelock, NC",Boka Nina's Pacific Island Fusion,11,64.09,4.8454545454545,18.18,"Havelock, NC - Boka Nina's Pacific Island Fusion"
42,"Fayetteville, NC",Texas Roadhouse,9,78.44,7.4666666666667,44.44,"Fayetteville, NC - Texas Roadhouse"
39,"Fayetteville, NC",Logans Road House,8,63.63,6.67625,50.0,"Fayetteville, NC - Logans Road House"
58,"Fayetteville, NC",Bubba's 33,7,62.43,7.6828571428571,57.14,"Fayetteville, NC - Bubba's 33"
159,NAS Oceana & Dam Neck Naval Base,Lendy's Cafe and Raw Bar,7,71.71,3.0157142857143,57.14,NAS Oceana & Dam Neck Naval Base - Lendy's Cafe and Raw Bar
38,"Fayetteville, NC",Taco Bell,7,60.14,14.055714285714,57.14,"Fayetteville, NC - Taco Bell"
53,"Fayetteville, NC",Mi Casita,5,83.8,8.344,40.0,"Fayetteville, NC - Mi Casita"
134,"Langley AFB & Hampton, VA",Denny's,5,60.6,2.842,80.0,"Langley AFB & Hampton, VA - Denny's"
172,MacDill AFB,McDonald's,5,65.0,2.944,40.0,MacDill AFB - McDonald's
178,MacDill AFB,Papa John's ,5,81.8,4.22,60.0,MacDill AFB - Papa John's 
180,MacDill AFB,The Asian Ktichen,5,66.0,2.78,40.0,MacDill AFB - The Asian Ktichen
